t,node,Va,Vb,Vc,Ia,Ib,Ic
0.00750,1,5874.014754,1585.273019,-7511.660325,5874.014754,1585.273019,-7511.660325
0.00760,1,5732.309979,1840.519615,-7615.703599,5732.309979,1840.519615,-7615.703599
0.00770,1,5621.410907,2011.505046,-7650.210643,5621.410907,2011.505046,-7650.210643
0.00780,1,5433.651602,2264.342949,-7657.457617,5433.651602,2264.342949,-7657.457617
0.00790,1,5212.822489,2572.167565,-7735.880243,5212.822489,2572.167565,-7735.880243
0.00800,1,5027.515789,2804.315948,-7835.287085,5027.515789,2804.315948,-7835.287085
0.00810,1,4872.755064,2941.360717,-7836.196012,4872.755064,2941.360717,-7836.196012
0.00820,1,4645.682122,3180.586819,-7836.725168,4645.682122,3180.586819,-7836.725168
0.00830,1,4396.312288,3496.596303,-7910.728854,4396.312288,3496.596303,-7910.728854
0.00840,1,4236.462272,3688.342930,-7932.475299,4236.462272,3688.342930,-7932.475299
0.00850,1,4068.586886,3833.533924,-7879.066198,4068.586886,3833.533924,-7879.066198
0.00860,1,3793.261620,4106.612332,-7883.705939,3793.261620,4106.612332,-7883.705939
0.00870,1,3551.868130,4359.341219,-7920.945322,3551.868130,4359.341219,-7920.945322
0.00880,1,3382.414448,4511.627713,-7899.599979,3382.414448,4511.627713,-7899.599979
0.00890,1,3154.829597,4681.917811,-7837.715262,3154.829597,4681.917811,-7837.715262
0.00900,1,2887.695068,4906.807422,-7804.976040,2887.695068,4906.807422,-7804.976040
0.00910,1,2645.302315,5170.803351,-7816.404677,2645.302315,5170.803351,-7816.404677
0.00920,1,2465.409284,5284.767657,-7738.895262,2465.409284,5284.767657,-7738.895262
0.00930,1,2226.654357,5421.723655,-7645.855652,2226.654357,5421.723655,-7645.855652
0.00940,1,1919.802854,5696.912652,-7621.107039,1919.802854,5696.912652,-7621.107039
0.00950,1,1711.113765,5855.774470,-7568.149260,1711.113765,5855.774470,-7568.149260
0.00960,1,1505.536165,5960.457695,-7466.612648,1505.536165,5960.457695,-7466.612648
0.00970,1,1229.431650,6124.683097,-7357.832433,1229.431650,6124.683097,-7357.832433
0.00980,1,958.577415,6332.028678,-7290.292997,958.577415,6332.028678,-7290.292997
0.00990,1,732.974429,6486.321624,-7215.198681,732.974429,6486.321624,-7215.198681
0.01000,1,518.622194,6552.129657,-7069.726153,518.622194,6552.129657,-7069.726153
0.01010,1,238.859650,6699.304000,-6940.328608,238.859650,6699.304000,-6940.328608
0.01020,1,-43.621192,6907.450561,-6865.393827,-43.621192,6907.450561,-6865.393827
0.01030,1,-245.185109,6981.582940,-6734.989012,-245.185109,6981.582940,-6734.989012
0.01040,1,-475.933093,7036.751473,-6562.092311,-475.933093,7036.751473,-6562.092311
0.01050,1,-774.937135,7205.430614,-6432.313941,-774.937135,7205.430614,-6432.313941
0.01060,1,-1018.354783,7329.604970,-6307.906060,-1018.354783,7329.604970,-6307.906060
0.01070,1,-1228.446339,7385.025700,-6155.689695,-1228.446339,7385.025700,-6155.689695
0.01080,1,-1476.650554,7433.566976,-5960.345253,-1476.650554,7433.566976,-5960.345253
0.01090,1,-1750.594069,7554.539960,-5803.248958,-1750.594069,7554.539960,-5803.248958
0.01100,1,-1996.550133,7670.236047,-5671.631292,-1996.550133,7670.236047,-5671.631292
0.01110,1,-2192.016714,7658.121735,-5468.867438,-2192.016714,7658.121735,-5468.867438
0.01120,1,-2439.672613,7699.074398,-5259.803209,-2439.672613,7699.074398,-5259.803209
0.01130,1,-2719.372457,7823.188345,-5100.589099,-2719.372457,7823.188345,-5100.589099
0.01140,1,-2924.254165,7848.386377,-4925.511037,-2924.254165,7848.386377,-4925.511037
0.01150,1,-3124.554528,7824.346674,-4701.834896,-3124.554528,7824.346674,-4701.834896
0.01160,1,-3380.183055,7868.934601,-4486.404248,-3380.183055,7868.934601,-4486.404248
0.01170,1,-3621.654128,7924.319387,-4302.761290,-3621.654128,7924.319387,-4302.761290
0.01180,1,-3819.179633,7927.578095,-4110.656420,-3819.179633,7927.578095,-4110.656420
0.01190,1,-4013.477963,7876.639053,-3861.570871,-4013.477963,7876.639053,-3861.570871
0.01200,1,-4248.547497,7880.381588,-3630.882791,-4248.547497,7880.381588,-3630.882791
0.01210,1,-4486.235289,7939.966135,-3455.621779,-4486.235289,7939.966135,-3455.621779
0.01220,1,-4642.521230,7857.355071,-3214.241692,-4642.521230,7857.355071,-3214.241692
0.01230,1,-4834.072810,7795.424674,-2960.547207,-4834.072810,7795.424674,-2960.547207
0.01240,1,-5073.949389,7812.610047,-2739.685782,-5073.949389,7812.610047,-2739.685782
0.01250,1,-5248.460142,7772.518016,-2523.954520,-5248.460142,7772.518016,-2523.954520
0.01260,1,-5409.708766,7696.182033,-2286.028171,-5409.708766,7696.182033,-2286.028171
0.01270,1,-5588.270886,7601.762241,-2013.566778,-5588.270886,7601.762241,-2013.566778
0.01280,1,-5790.343532,7579.314863,-1789.366488,-5790.343532,7579.314863,-1789.366488
0.01290,1,-5955.810972,7530.060739,-1573.801611,-5955.810972,7530.060739,-1573.801611
0.01300,1,-6077.835065,7381.905476,-1304.349530,-6077.835065,7381.905476,-1304.349530
0.01310,1,-6251.009866,7290.565175,-1039.607760,-6251.009866,7290.565175,-1039.607760
0.01320,1,-6432.227292,7254.568749,-821.862545,-6432.227292,7254.568749,-821.862545
0.01330,1,-6547.187911,7127.313686,-580.988230,-6547.187911,7127.313686,-580.988230
0.01340,1,-6662.746366,6974.778755,-311.232803,-6662.746366,6974.778755,-311.232803
0.01350,1,-6821.266777,6877.043568,-55.814612,-6821.266777,6877.043568,-55.814612
0.01360,1,-6953.334336,6778.634554,173.973215,-6953.334336,6778.634554,173.973215
0.01370,1,-7050.049897,6642.372548,408.334967,-7050.049897,6642.372548,408.334967
0.01380,1,-7143.769302,6453.970938,689.916396,-7143.769302,6453.970938,689.916396
0.01390,1,-7268.949820,6331.517423,936.871664,-7268.949820,6331.517423,936.871664
0.01400,1,-7383.367231,6234.006757,1149.456998,-7383.367231,6234.006757,1149.456998
0.01410,1,-7428.138945,6018.371681,1410.488378,-7428.138945,6018.371681,1410.488378
0.01420,1,-7512.461973,5839.573427,1672.164742,-7512.461973,5839.573427,1672.164742
0.01430,1,-7618.787312,5714.425805,1904.230859,-7618.787312,5714.425805,1904.230859
0.01440,1,-7669.344942,5541.601722,2128.588757,-7669.344942,5541.601722,2128.588757
0.01450,1,-7709.398903,5336.365511,2372.531253,-7709.398903,5336.365511,2372.531253
0.01460,1,-7763.423585,5130.962422,2632.032854,-7763.423585,5130.962422,2632.032854
0.01470,1,-7828.706283,4978.923594,2850.666039,-7828.706283,4978.923594,2850.666039
0.01480,1,-7857.675882,4799.195926,3058.185142,-7857.675882,4799.195926,3058.185142
0.01490,1,-7855.403364,4543.640752,3311.210101,-7855.403364,4543.640752,3311.210101
0.01500,1,-7890.169579,4343.585033,3547.381492,-7890.169579,4343.585033,3547.381492
0.01510,1,-7930.471705,4190.472968,3739.754679,-7930.471705,4190.472968,3739.754679
0.01520,1,-7901.115890,3941.516186,3959.287913,-7901.115890,3941.516186,3959.287913
0.01530,1,-7889.368051,3703.834011,4185.901167,-7889.368051,3703.834011,4185.901167
0.01540,1,-7900.458083,3499.495533,4401.005506,-7900.458083,3499.495533,4401.005506
0.01550,1,-7882.778197,3293.906888,4588.616410,-7882.778197,3293.906888,4588.616410
0.01560,1,-7843.455480,3065.992022,4777.556641,-7843.455480,3065.992022,4777.556641
0.01570,1,-7790.798567,2784.237913,5006.859381,-7790.798567,2784.237913,5006.859381
0.01580,1,-7776.041700,2589.743829,5185.902772,-7776.041700,2589.743829,5185.902772
0.01590,1,-7731.767691,2381.599157,5350.329668,-7731.767691,2381.599157,5350.329668
0.01600,1,-7639.607194,2097.220808,5542.667018,-7639.607194,2097.220808,5542.667018
0.01610,1,-7582.353013,1849.692898,5732.203756,-7582.353013,1849.692898,5732.203756
0.01620,1,-7533.345592,1644.058828,5889.593189,-7533.345592,1644.058828,5889.593189
0.01630,1,-7438.960156,1398.591412,6040.509889,-7438.960156,1398.591412,6040.509889
0.01640,1,-7335.841851,1129.644243,6205.773337,-7335.841851,1129.644243,6205.773337
0.01650,1,-7247.821482,875.178760,6373.052221,-7247.821482,875.178760,6373.052221
0.01660,1,-7161.552055,656.435698,6505.065911,-7161.552055,656.435698,6505.065911
0.01670,1,-7045.647866,422.017581,6623.427031,-7045.647866,422.017581,6623.427031
0.01680,1,-6904.502589,121.529992,6783.207980,-6904.502589,121.529992,6783.207980
0.01690,1,-6798.917779,-110.881104,6909.771874,-6798.917779,-110.881104,6909.771874
0.01700,1,-6689.702823,-316.954661,7006.672078,-6689.702823,-316.954661,7006.672078
0.01710,1,-6520.828214,-602.479155,7123.115826,-6520.828214,-602.479155,7123.115826
0.01720,1,-6378.972652,-856.704132,7236.113979,-6378.972652,-856.704132,7236.113979
0.01730,1,-6246.015216,-1093.847733,7339.571372,-6246.015216,-1093.847733,7339.571372
0.01740,1,-6090.876831,-1320.089051,7410.852359,-6090.876831,-1320.089051,7410.852359
0.01750,1,-5918.838423,-1571.430014,7490.799939,-5918.838423,-1571.430014,7490.799939
0.01760,1,-5738.350611,-1853.208012,7591.075035,-5738.350611,-1853.208012,7591.075035
0.01770,1,-5591.680249,-2055.742095,7647.585002,-5591.680249,-2055.742095,7647.585002
0.01780,1,-5412.325049,-2278.290920,7690.794106,-5412.325049,-2278.290920,7690.794106
0.01790,1,-5202.159426,-2554.602912,7756.634687,-5202.159426,-2554.602912,7756.634687
0.01800,1,-5022.636458,-2789.622027,7812.183024,-5022.636458,-2789.622027,7812.183024
0.01810,1,-4848.849809,-2987.130200,7836.229353,-4848.849809,-2987.130200,7836.229353
0.01820,1,-4633.129583,-3227.738889,7860.763005,-4633.129583,-3227.738889,7860.763005
0.01830,1,-4422.349848,-3463.541186,7885.821743,-4422.349848,-3463.541186,7885.821743
0.01840,1,-4219.934666,-3696.666909,7916.775779,-4219.934666,-3696.666909,7916.775779
0.01850,1,-4020.823522,-3885.241750,7906.031671,-4020.823522,-3885.241750,7906.031671
0.01860,1,-3799.001160,-4093.201783,7892.174029,-3799.001160,-4093.201783,7892.174029
0.01870,1,-3556.494096,-4351.956208,7908.424408,-3556.494096,-4351.956208,7908.424408
0.01880,1,-3356.191236,-4528.660141,7885.145666,-3356.191236,-4528.660141,7885.145666
0.01890,1,-3138.630272,-4709.184646,7847.402284,-3138.630272,-4709.184646,7847.402284
0.01900,1,-2883.906890,-4932.442866,7816.692862,-2883.906890,-4932.442866,7816.692862
0.01910,1,-2655.635258,-5130.403363,7786.046389,-2655.635258,-5130.403363,7786.046389
0.01920,1,-2432.389905,-5307.246340,7739.361227,-2432.389905,-5307.246340,7739.361227
0.01930,1,-2195.387231,-5472.686606,7668.477240,-2195.387231,-5472.686606,7668.477240
0.01940,1,-1944.445509,-5661.326371,7605.524891,-1944.445509,-5661.326371,7605.524891
0.01950,1,-1696.369565,-5857.383111,7553.856732,-1696.369565,-5857.383111,7553.856732
0.01960,1,-1473.721052,-5991.296674,7465.038650,-1473.721052,-5991.296674,7465.038650
0.01970,1,-1226.799307,-6137.190811,7364.005980,-1226.799307,-6137.190811,7364.005980
0.01980,1,-958.327744,-6329.302768,7287.663948,-958.327744,-6329.302768,7287.663948
0.01990,1,-723.362768,-6466.883663,7190.160082,-723.362768,-6466.883663,7190.160082
0.02000,1,-491.428404,-6582.088808,7073.727881,-491.428404,-6582.088808,7073.727881
0.02010,1,73.168486,-6924.524498,6851.221323,73.168486,-6924.524498,6851.221323
0.02020,1,116.489298,-6907.263315,6790.756435,116.489298,-6907.263315,6790.756435
0.02030,1,80.543213,-6863.798601,6783.500961,80.543213,-6863.798601,6783.500961
0.02040,1,405.135523,-7011.584897,6606.221081,405.135523,-7011.584897,6606.221081
0.02050,1,977.164568,-7316.745202,6339.660845,977.164568,-7316.745202,6339.660845
0.02060,1,1104.162926,-7366.334239,6262.360783,1104.162926,-7366.334239,6262.360783
0.02070,1,1021.864140,-7234.006569,6211.892097,1021.864140,-7234.006569,6211.892097
0.02080,1,1448.828448,-7423.350454,5974.723240,1448.828448,-7423.350454,5974.723240
0.02090,1,2004.486204,-7716.603065,5712.107339,2004.486204,-7716.603065,5712.107339
0.02100,1,1993.063412,-7626.065180,5632.952282,1993.063412,-7626.065180,5632.952282
0.02110,1,1930.346236,-7486.872352,5556.627609,1930.346236,-7486.872352,5556.627609
0.02120,1,2588.236451,-7811.370441,5223.056979,2588.236451,-7811.370441,5223.056979
0.02130,1,2884.952015,-7892.681524,5007.899345,2884.952015,-7892.681524,5007.899345
0.02140,1,2814.342774,-7762.812600,4948.286852,2814.342774,-7762.812600,4948.286852
0.02150,1,3020.219150,-7757.308604,4737.260618,3020.219150,-7757.308604,4737.260618
0.02160,1,3439.180764,-7895.204737,4456.046322,3439.180764,-7895.204737,4456.046322
0.02170,1,3843.685397,-8056.568123,4212.735248,3843.685397,-8056.568123,4212.735248
0.02180,1,3644.846976,-7787.932882,4143.308572,3644.846976,-7787.932882,4143.308572
0.02190,1,3861.996892,-7775.678431,3913.606425,3861.996892,-7775.678431,3913.606425
0.02200,1,4521.772015,-8061.062527,3539.241915,4521.772015,-8061.062527,3539.241915
0.02210,1,4479.860340,-7897.622088,3417.922827,4479.860340,-7897.622088,3417.922827
0.02220,1,4509.130775,-7763.486373,3254.289042,4509.130775,-7763.486373,3254.289042
0.02230,1,4785.238072,-7767.082284,2981.817721,4785.238072,-7767.082284,2981.817721
0.02240,1,5263.314240,-7908.429334,2645.281183,5263.314240,-7908.429334,2645.281183
0.02250,1,5261.450905,-7772.764397,2511.151864,5261.450905,-7772.764397,2511.151864
0.02260,1,5227.761935,-7561.635997,2334.059424,5227.761935,-7561.635997,2334.059424
0.02270,1,5601.727816,-7600.984913,1999.130681,5601.727816,-7600.984913,1999.130681
0.02280,1,5990.602494,-7705.445533,1714.965344,5990.602494,-7705.445533,1714.965344
0.02290,1,5905.140148,-7464.948302,1559.819734,5905.140148,-7464.948302,1559.819734
0.02300,1,5851.187713,-7234.382427,1383.066675,5851.187713,-7234.382427,1383.066675
0.02310,1,6433.872405,-7403.613053,970.041435,6433.872405,-7403.613053,970.041435
0.02320,1,6504.647940,-7272.214834,767.281732,6504.647940,-7272.214834,767.281732
0.02330,1,6446.572335,-7061.216415,614.839419,6446.572335,-7061.216415,614.839419
0.02340,1,6578.143338,-6907.001726,328.902603,6578.143338,-6907.001726,328.902603
0.02350,1,6877.629889,-6895.756983,17.962223,6877.629889,-6895.756983,17.962223
0.02360,1,7139.606046,-6893.562706,-245.804999,7139.606046,-6893.562706,-245.804999
0.02370,1,6814.555423,-6474.833361,-339.856962,6814.555423,-6474.833361,-339.856962
0.02380,1,7110.047459,-6419.375324,-690.599084,7110.047459,-6419.375324,-690.599084
0.02390,1,7435.321088,-6433.893635,-1001.385305,7435.321088,-6433.893635,-1001.385305
0.02400,1,7394.175595,-6217.656600,-1176.578983,7394.175595,-6217.656600,-1176.578983
0.02410,1,7250.429557,-5906.418030,-1343.870402,7250.429557,-5906.418030,-1343.870402
0.02420,1,7534.025375,-5838.291961,-1695.860128,7534.025375,-5838.291961,-1695.860128
0.02430,1,7748.995347,-5774.945186,-1973.917400,7748.995347,-5774.945186,-1973.917400
0.02440,1,7632.841079,-5526.698380,-2106.149633,7632.841079,-5526.698380,-2106.149633
0.02450,1,7587.622321,-5241.661266,-2346.014337,7587.622321,-5241.661266,-2346.014337
0.02460,1,7731.903735,-5093.544275,-2638.238216,7731.903735,-5093.544275,-2638.238216
0.02470,1,8060.034340,-5121.176381,-2938.875268,8060.034340,-5121.176381,-2938.875268
0.02480,1,7693.807812,-4690.655856,-3003.218578,7693.807812,-4690.655856,-3003.218578
0.02490,1,7732.224275,-4454.937641,-3277.096497,7732.224275,-4454.937641,-3277.096497
0.02500,1,8038.231226,-4422.742587,-3615.632982,8038.231226,-4422.742587,-3615.632982
0.02510,1,7933.878726,-4179.211915,-3754.582781,7933.878726,-4179.211915,-3754.582781
0.02520,1,7856.525045,-3927.772273,-3928.671687,7856.525045,-3927.772273,-3928.671687
0.02530,1,7739.805592,-3589.832133,-4150.121274,7739.805592,-3589.832133,-4150.121274
0.02540,1,8046.171863,-3564.361082,-4481.569084,8046.171863,-3564.361082,-4481.569084
0.02550,1,7923.188207,-3340.206226,-4583.198818,7923.188207,-3340.206226,-4583.198818
0.02560,1,7691.453498,-2961.145436,-4730.087352,7691.453498,-2961.145436,-4730.087352
0.02570,1,7736.435787,-2733.734703,-5002.801109,7736.435787,-2733.734703,-5002.801109
0.02580,1,7925.129092,-2672.082341,-5253.032642,7925.129092,-2672.082341,-5253.032642
0.02590,1,7719.152085,-2380.666459,-5338.346731,7719.152085,-2380.666459,-5338.346731
0.02600,1,7447.201205,-1985.863064,-5461.489034,7447.201205,-1985.863064,-5461.489034
0.02610,1,7673.245684,-1876.043041,-5797.062223,7673.245684,-1876.043041,-5797.062223
0.02620,1,7547.419450,-1646.939947,-5900.471033,7547.419450,-1646.939947,-5900.471033
0.02630,1,7471.120301,-1445.105180,-6026.088960,7471.120301,-1445.105180,-6026.088960
0.02640,1,7156.732303,-1009.094436,-6147.498305,7156.732303,-1009.094436,-6147.498305
0.02650,1,7278.239540,-865.656278,-6412.629564,7278.239540,-865.656278,-6412.629564
0.02660,1,7323.180028,-771.336535,-6551.863234,7323.180028,-771.336535,-6551.863234
0.02670,1,6870.770273,-330.393936,-6540.222535,6870.770273,-330.393936,-6540.222535
0.02680,1,6853.762624,-78.803062,-6775.133833,6853.762624,-78.803062,-6775.133833
0.02690,1,6862.152801,88.360340,-6950.294962,6862.152801,88.360340,-6950.294962
0.02700,1,6741.174183,275.488224,-7016.799109,6741.174183,275.488224,-7016.799109
0.02710,1,6413.005652,637.170304,-7050.095369,6413.005652,637.170304,-7050.095369
0.02720,1,6314.911149,923.069348,-7237.900897,6314.911149,923.069348,-7237.900897
0.02730,1,6322.471525,1058.873608,-7381.498300,6322.471525,1058.873608,-7381.498300
0.02740,1,6140.636865,1254.009921,-7394.411783,6140.636865,1254.009921,-7394.411783
0.02750,1,5779.593897,1652.309088,-7432.052416,5779.593897,1652.309088,-7432.052416
0.02760,1,5683.994553,1903.941127,-7587.869086,5683.994553,1903.941127,-7587.869086
0.02770,1,5759.358499,1952.295995,-7711.555728,5759.358499,1952.295995,-7711.555728
0.02780,1,5324.075149,2304.507209,-7628.718722,5324.075149,2304.507209,-7628.718722
0.02790,1,5116.624386,2598.057198,-7714.512452,5116.624386,2598.057198,-7714.512452
0.02800,1,5045.258071,2797.687479,-7843.014527,5045.258071,2797.687479,-7843.014527
0.02810,1,4897.994763,2949.970236,-7847.940033,4897.994763,2949.970236,-7847.940033
0.02820,1,4638.527039,3185.124032,-7823.575469,4638.527039,3185.124032,-7823.575469
0.02830,1,4266.222218,3569.045601,-7835.335150,4266.222218,3569.045601,-7835.335150
0.02840,1,4283.421014,3674.360195,-7957.687765,4283.421014,3674.360195,-7957.687765
0.02850,1,4124.291734,3793.403863,-7917.705829,4124.291734,3793.403863,-7917.705829
0.02860,1,3662.259088,4160.002961,-7822.279861,3662.259088,4160.002961,-7822.279861
0.02870,1,3519.146234,4377.297893,-7896.338285,3519.146234,4377.297893,-7896.338285
0.02880,1,3416.482077,4502.601013,-7919.151895,3416.482077,4502.601013,-7919.151895
0.02890,1,3186.916977,4655.406151,-7842.285755,3186.916977,4655.406151,-7842.285755
0.02900,1,2765.134218,4976.959721,-7741.979566,2765.134218,4976.959721,-7741.979566
0.02910,1,2649.896810,5155.832040,-7805.913205,2649.896810,5155.832040,-7805.913205
0.02920,1,2465.836095,5282.755466,-7748.326936,2465.836095,5282.755466,-7748.326936
0.02930,1,2268.396671,5394.404070,-7662.983874,2268.396671,5394.404070,-7662.983874
0.02940,1,1789.233154,5748.293672,-7537.420835,1789.233154,5748.293672,-7537.420835
0.02950,1,1688.901990,5874.699250,-7563.532307,1688.901990,5874.699250,-7563.532307
0.02960,1,1628.988368,5883.889311,-7513.024265,1628.988368,5883.889311,-7513.024265
0.02970,1,1098.607822,6189.251803,-7287.616296,1098.607822,6189.251803,-7287.616296
0.02980,1,953.315232,6323.185175,-7276.700095,953.315232,6323.185175,-7276.700095
0.02990,1,695.222367,6496.973317,-7192.025951,695.222367,6496.973317,-7192.025951
0.03000,1,589.666516,6509.254286,-7098.950302,589.666516,6509.254286,-7098.950302
0.03010,1,177.756205,6720.774238,-6898.564657,177.756205,6720.774238,-6898.564657
0.03020,1,-128.163985,6937.387333,-6809.096184,-128.163985,6937.387333,-6809.096184
0.03030,1,-191.295702,6949.565416,-6758.347431,-191.295702,6949.565416,-6758.347431
0.03040,1,-449.636338,7014.872025,-6565.191069,-449.636338,7014.872025,-6565.191069
0.03050,1,-850.103814,7225.349035,-6375.167957,-850.103814,7225.349035,-6375.167957
0.03060,1,-1084.833835,7359.395199,-6274.651197,-1084.833835,7359.395199,-6274.651197
